aid,year,gpa,pvt,grad,fam_mig,fam_inc,fam_edu,avg_peer_gpa
57118943,1993,3,104,1,0.638,0.934,0.402,2.5791077170418
57121404,1993,3.667,118,1,0.88,0.924,0.96,2.57803536977492
57123494,1993,0.857,81,1,0.537,0.943,0.682,2.58255305466238
57159952,1993,3.643,108,1,0.972,0.86,0.742,2.57807395498392
57186150,1993,3.4,116,1,0.972,0.86,0.742,2.57846463022508
57186582,1993,3.375,106,1,0.721,0.909,0.743,2.57850482315112
57199320,1993,2.214,95,1,0.864,0.937,1,2.58037138263666
57212347,1993,1.143,57,0,0.818,0.916,0.816,2.58209324758842
57213527,1993,1.889,106,1,0.846,0.973,0.95,2.58089389067524
57220133,1993,0.727,89,0,0.999,0.878,0.793,2.58276205787781
57220955,1993,3.857,119,1,0.758,0.96,0.73,2.57772990353698
57245379,1993,3.667,118,1,0.976,0.947,0.92,2.57803536977492
57249576,1993,1.833,91,1,0.777,0.958,0.79,2.58098392282958
57263513,1993,2,104,1,0.901,0.956,0.832,2.5807154340836
90503807,1993,3.9,111,1,0.8,0.95,0.907,2.57766077170418
90504104,1993,2.583,120,1,0.972,0.936,0.992,2.57977813504823
90504220,1993,3.357,114,1,0.497,0.946,0.742,2.57853376205788
90504500,1993,2.75,107,1,0.655,0.906,0.779,2.57950964630225
90506094,1993,1.75,108,1,0.706,0.925,0.937,2.58111736334405
90506236,1993,4,118,1,0.743,0.878,0.742,2.5775
90506428,1993,1.273,99,1,0.945,0.969,0.968,2.58188424437299
90506472,1993,0.333,111,0,0.673,0.956,0.866,2.58339549839228
90506828,1993,2.4,94,1,0.914,0.918,0.889,2.58007234726688
90506896,1993,2,85,0,0.747,0.917,0.901,2.5807154340836
90508577,1993,2.5,100,1,0.762,0.914,0.911,2.5799115755627
90543104,1993,2.833,79,1,0.824,0.94,0.71,2.57937620578778
90544204,1993,3,112,1,0.745,0.927,0.892,2.5791077170418
90570778,1993,1.818,87,1,0.971,0.927,0.881,2.58100803858521
90571171,1993,0.154,77,0,0.87,0.976,0.919,2.58368327974276
90572147,1993,0.6,107,1,0.917,0.884,0.843,2.58296623794212
90572213,1993,3.583,85,1,0.865,0.948,0.769,2.57817041800643
90572265,1993,3.286,108,1,0.859,0.936,0.914,2.57864790996785
90572384,1993,3.071,112,1,0.462,0.922,0.822,2.57899356913183
90572862,1993,1.889,83,0,0.995,0.986,0.871,2.58089389067524
90572900,1993,3.929,116,1,0.91,0.941,0.848,2.57761414790997
90572909,1993,2.688,108,1,0.946,0.919,0.764,2.57960932475884
90573491,1993,1.714,85,1,0.751,0.943,0.69,2.58117524115756
90573992,1993,2.929,104,1,0.783,0.938,0.705,2.57922186495177
90574335,1993,3,111,1,0.845,0.951,0.867,2.5791077170418
90574415,1993,0.857,103,1,0.933,0.94,0.862,2.58255305466238
90574503,1993,3.083,112,1,0.906,0.959,0.976,2.57897427652733
90575216,1993,3.375,90,1,0.634,0.908,0.853,2.57850482315112
90575919,1993,1.824,115,1,0.645,0.873,0.856,2.58099839228296
90575940,1993,2.714,111,1,0.974,0.98,0.968,2.57956752411576
90575975,1993,3,107,1,0.564,0.931,0.991,2.5791077170418
90575978,1993,3.667,122,1,0.564,0.931,0.991,2.57803536977492
90575991,1993,0,89,1,0.951,0.97,0.864,2.5839308681672
90576119,1993,3.875,111,1,0.964,0.942,0.769,2.57770096463022
90576285,1993,3.833,122,1,0.857,0.932,0.902,2.57776848874598
90576759,1993,1.933,93,1,0.935,0.932,0.87,2.5808231511254
90576919,1993,1.929,103,1,0.864,0.948,0.811,2.58082958199357
90576948,1993,1.917,108,0,0.75,0.916,0.988,2.58084887459807
90577063,1993,2.545,120,1,0.83,0.964,0.929,2.57983922829582
90577161,1993,4,106,1,0.83,0.964,0.929,2.5775
90577964,1993,3.533,118,1,0.894,0.948,0.815,2.57825080385852
90578025,1993,3.5,114,1,0.873,0.936,0.728,2.5783038585209
90578217,1993,3.167,110,1,0.663,0.951,0.902,2.57883922829582
90578304,1993,2.333,94,1,0.611,0.957,0.912,2.58018006430868
90578461,1993,2.5,94,1,0.616,0.916,0.798,2.5799115755627
90578576,1993,2.8,114,1,0.828,0.853,0.843,2.57942926045016
90578787,1993,2.214,74,1,0.924,0.915,0.872,2.58037138263666
90578806,1993,2,91,1,0.708,0.924,0.926,2.5807154340836
90578846,1993,3.111,108,1,0.899,0.882,0.79,2.57892926045016
90578873,1993,4,89,1,0.954,0.923,0.896,2.5775
90578986,1993,2.643,89,1,0.953,0.942,0.914,2.57968167202572
90579960,1993,2.462,110,1,0.808,0.951,0.801,2.57997266881029
90579990,1993,2.5,91,1,0.795,0.938,0.838,2.5799115755627
90608976,1993,2.75,93,1,0.994,0.952,0.91,2.57950964630225
90614172,1993,2.429,119,1,0.981,0.935,0.897,2.58002572347267
90614371,1993,3.125,100,1,0.784,0.944,0.915,2.57890675241158
90614978,1993,2,83,1,0.563,0.942,0.907,2.5807154340836
90619961,1993,3.25,119,1,0.723,0.962,0.938,2.57870578778135
90676458,1993,2,73,1,0.922,0.942,0.885,2.5807154340836
91501350,1993,1.857,115,1,0.705,0.893,0.815,2.58094533762058
91504088,1993,0.75,90,0,0.717,0.937,0.814,2.58272508038585
91504104,1993,1.462,108,1,0.737,0.912,0.672,2.58158038585209
91504224,1993,2.333,108,1,0.674,0.884,0.818,2.58018006430868
91506305,1993,3.417,104,1,0.927,0.957,0.882,2.57843729903537
91506993,1993,3.5,78,1,0.672,0.865,0.809,2.5783038585209
91508025,1993,3.417,114,1,0.761,0.952,0.933,2.57843729903537
91508026,1993,1.556,108,1,0.926,0.926,0.909,2.58142926045016
91508381,1993,1.571,7,1,0.824,0.893,0.739,2.58140514469453
91508526,1993,2.5,87,1,0.812,0.916,0.98,2.5799115755627
91508766,1993,2.167,115,1,0.574,0.901,0.819,2.58044694533762
91540457,1993,0.462,110,1,0.941,0.934,0.958,2.58318810289389
91544201,1993,2.5,77,1,0.99,0.946,0.82,2.5799115755627
91570597,1993,1.667,94,1,0.53,0.904,0.834,2.58125080385852
91571218,1993,3.286,118,1,0.843,0.913,0.76,2.57864790996785
91571817,1993,4,116,1,0.904,0.931,0.835,2.5775
91572214,1993,3.583,107,1,0.814,0.934,0.775,2.57817041800643
91572321,1993,2.071,90,0,0.589,0.887,0.836,2.58060128617363
91572346,1993,2.167,102,1,0.855,0.91,0.856,2.58044694533762
91572900,1993,2.857,115,1,0.69,0.879,0.79,2.57933762057878
91572918,1993,3,90,1,0.814,0.934,0.775,2.5791077170418
91572964,1993,3.214,116,1,0.695,0.93,0.866,2.57876366559485
91572980,1993,1.313,90,1,0.919,0.952,0.919,2.58181993569132
91572989,1993,2.5,108,1,0.569,0.958,0.839,2.5799115755627
91573291,1993,2.733,102,1,0.751,0.943,0.69,2.57953697749196
91573395,1993,0.875,99,1,0.821,0.909,0.766,2.58252411575563
91573708,1993,3.2,79,1,0.711,0.896,0.942,2.57878617363344
91573955,1993,3.316,111,1,0.89,0.915,0.964,2.57859967845659
91574121,1993,0.8,100,0,0.894,0.961,0.721,2.58264469453376
91574688,1993,3.667,108,1,0.738,0.924,0.763,2.57803536977492
91574694,1993,1.714,77,1,0.83,0.924,0.845,2.58117524115756
91574696,1993,1.583,103,0,0.718,0.922,0.819,2.58138585209003
91575076,1993,1.667,104,1,0.564,0.931,0.991,2.58125080385852
91575151,1993,1.786,110,1,0.413,0.887,0.811,2.58105948553055
91575227,1993,2.444,64,1,0.629,0.947,0.882,2.58000160771704
91575235,1993,3.1,115,1,0.845,0.888,0.848,2.57894694533762
91575246,1993,3.071,112,1,0.837,0.848,0.825,2.57899356913183
91575296,1993,2.375,112,1,0.93,0.841,0.92,2.58011254019293
91575317,1993,2.75,118,1,0.788,0.915,0.896,2.57950964630225
91575358,1993,2.857,107,1,0.676,0.908,0.727,2.57933762057878
91575387,1993,2.692,91,1,0.994,0.982,0.819,2.57960289389068
91575477,1993,2.067,112,1,0.564,0.931,0.991,2.5806077170418
91575626,1993,2.933,85,1,0.663,0.928,0.893,2.5792154340836
91575627,1993,1.167,102,1,0.685,0.901,0.759,2.58205466237942
91575726,1993,1.357,96,1,0.64,0.947,0.863,2.58174919614148
91575911,1993,2.5,106,1,0.788,0.915,0.896,2.5799115755627
91575966,1993,1.833,115,1,0.723,0.921,0.895,2.58098392282958
91576129,1993,2.933,69,1,0.889,0.913,0.725,2.5792154340836
91576154,1993,3.375,103,1,0.865,0.937,0.834,2.57850482315112
91576537,1993,1.741,114,1,0.98,0.93,0.9,2.58113183279743
91576651,1993,3.5,83,0,0.984,0.947,0.89,2.5783038585209
91577268,1993,3.75,110,1,0.785,0.955,0.83,2.57790192926045
91578027,1993,3.5,99,1,0.627,0.965,0.807,2.5783038585209
91578089,1993,1.875,75,1,0.618,0.928,0.655,2.58091639871383
91578740,1993,2.375,90,1,0.966,0.927,0.833,2.58011254019293
91578892,1993,2.75,93,1,0.743,0.919,0.69,2.57950964630225
91579339,1993,2.375,106,1,0.804,0.915,0.947,2.58011254019293
91579939,1993,2.625,110,1,0.936,0.954,0.891,2.57971061093248
91579992,1993,2.833,74,1,0.785,0.958,0.822,2.57937620578778
91614978,1993,2.5,116,1,0.692,0.962,0.887,2.5799115755627
91619467,1993,3.8,120,1,0.875,0.87,0.801,2.57782154340836
91676456,1993,2.571,90,1,0.966,0.93,0.933,2.57979742765273
91676522,1993,0,103,1,0.688,0.848,0.764,2.5839308681672
91678572,1993,2.636,116,1,0.727,0.846,0.882,2.57969292604502
91678674,1993,2.5,116,1,0.804,0.883,0.877,2.5799115755627
92500914,1993,2.417,103,1,0.86,0.96,0.906,2.58004501607717
92506022,1993,2.727,71,1,0.736,0.907,0.883,2.57954662379421
92540654,1993,1.923,100,0,0.842,0.937,0.994,2.58083922829582
92546995,1993,2.167,82,1,0.982,0.911,0.829,2.58044694533762
92571017,1993,3.182,120,1,0.91,0.965,0.932,2.57881511254019
92571271,1993,1,103,0,0.776,0.961,0.84,2.5823231511254
92571664,1993,4,120,1,0.753,0.873,0.936,2.5775
92572203,1993,2.8,106,1,0.809,0.91,0.779,2.57942926045016
92572209,1993,3,102,1,0.809,0.91,0.779,2.5791077170418
92572219,1993,0.538,100,0,0.731,0.93,0.825,2.58306591639871
92572300,1993,2.429,87,1,0.814,0.829,0.84,2.58002572347267
92572314,1993,3.833,106,1,0.853,0.869,0.865,2.57776848874598
92572317,1993,2.5,93,1,0.865,0.948,0.769,2.5799115755627
92572390,1993,2.143,94,1,0.921,0.938,0.836,2.58048553054662
92572468,1993,3.667,114,1,0.797,0.943,0.986,2.57803536977492
92572802,1993,4,120,1,0.814,0.829,0.84,2.5775
92573096,1993,3.071,118,1,0.83,0.959,0.909,2.57899356913183
92573136,1993,2.267,103,1,0.749,0.866,0.631,2.58028617363344
92573697,1993,1.929,104,1,0.821,0.909,0.766,2.58082958199357
92573818,1993,2.556,93,1,0.705,0.941,0.919,2.57982154340836
92573831,1993,3.727,116,1,0.431,0.856,0.679,2.57793890675241
92573916,1993,2.778,108,1,0.856,0.927,0.901,2.57946463022508
92573958,1993,3.5,103,1,0.89,0.915,0.964,2.5783038585209
92574018,1993,0.846,112,1,0.703,0.847,0.656,2.58257073954984
92574701,1993,2.083,90,1,0.427,0.935,0.948,2.58058199356913
92575033,1993,1.75,112,1,0.884,0.893,0.829,2.58111736334405
92575900,1993,2.875,99,1,0.721,0.912,0.952,2.57930868167203
92575959,1993,1.75,82,1,0.676,0.908,0.727,2.58111736334405
92576499,1993,2.417,94,0,0.713,0.924,0.859,2.58004501607717
92576504,1993,3,118,1,0.914,0.873,0.857,2.5791077170418
92576516,1993,1.6,83,1,0.711,0.94,0.792,2.58135852090032
92576531,1993,3.059,111,1,0.845,0.904,0.753,2.57901286173633
92576555,1993,2.5,86,1,0.865,0.937,0.834,2.5799115755627
92576556,1993,2.938,91,1,0.972,0.904,0.843,2.57920739549839
92576950,1993,2.5,108,1,0.702,0.932,0.808,2.5799115755627
92576984,1993,2.583,122,1,0.935,0.902,0.721,2.57977813504823
92577065,1993,2.833,81,0,0.949,0.93,0.91,2.57937620578778
92577161,1993,1.4,91,0,0.728,0.942,0.862,2.58168006430868
92577368,1993,3.846,104,1,0.83,0.964,0.929,2.57774758842444
92577917,1993,3.167,103,1,0.836,0.969,0.893,2.57883922829582
92578161,1993,2,115,1,0.678,0.905,0.787,2.5807154340836
92578428,1993,2.417,91,1,0.74,0.932,0.896,2.58004501607717
92578684,1993,2.357,86,1,0.753,0.862,0.797,2.58014147909968
92578930,1993,2.75,110,1,0.908,0.901,0.862,2.57950964630225
92579175,1993,2,108,1,0.836,0.948,0.83,2.5807154340836
92579268,1993,3.5,116,1,0.899,0.952,0.833,2.5783038585209
92579937,1993,3.143,87,1,0.749,0.934,0.868,2.57887781350482
92579994,1993,3.25,120,1,0.785,0.958,0.822,2.57870578778135
92608078,1993,3,111,1,0.794,0.855,0.782,2.5791077170418
92614372,1993,2.333,91,0,0.598,0.926,0.738,2.58018006430868
92619366,1993,3.733,118,1,0.764,0.847,0.51,2.57792926045016
92678179,1993,2,77,1,0.926,0.935,0.871,2.5807154340836
93500385,1993,3.571,119,1,0.974,0.924,0.887,2.57818971061093
93504281,1993,3.167,104,1,0.907,0.948,0.805,2.57883922829582
93506150,1993,4,119,1,0.907,0.931,0.9,2.5775
93506290,1993,2.167,94,1,0.691,0.947,0.98,2.58044694533762
93506345,1993,1.75,79,1,0.955,0.906,0.974,2.58111736334405
93506573,1993,3.857,116,1,0.993,0.89,0.799,2.57772990353698
93506722,1993,0,100,1,0.983,0.938,0.955,2.5839308681672
93506930,1993,1.063,100,1,0.87,0.956,0.952,2.58222186495177
93507312,1993,3.583,110,1,0.817,0.951,0.884,2.57817041800643
93544923,1993,0.25,87,0,0.839,0.831,0.748,2.58352893890675
93570097,1993,4,120,1,0.924,0.913,0.782,2.5775
93570295,1993,1.333,99,1,0.646,0.852,0.95,2.58178778135048
93570335,1993,3.615,107,1,0.726,0.922,0.906,2.57811897106109
93570521,1993,2.667,96,1,0.516,0.932,0.823,2.57964308681672
93571010,1993,3.125,115,1,0.707,0.93,0.859,2.57890675241158
93571216,1993,3.75,110,1,0.904,0.931,0.835,2.57790192926045
93571469,1993,2,98,1,0.873,0.903,0.92,2.5807154340836
93571769,1993,3.5,116,1,0.908,0.91,0.896,2.5783038585209
93571806,1993,1.75,106,1,0.704,0.913,0.87,2.58111736334405
93571857,1993,2,108,1,0.793,0.891,0.872,2.5807154340836
93571862,1993,3.444,104,1,0.946,0.911,0.869,2.57839389067524
93572118,1993,2.5,79,1,0.853,0.869,0.865,2.5799115755627
93572164,1993,3.714,103,1,0.859,0.936,0.914,2.57795980707395
93572169,1993,2.583,106,1,0.859,0.936,0.914,2.57977813504823
93572225,1993,1.571,103,1,0.589,0.887,0.836,2.58140514469453
93572227,1993,1.571,69,1,0.589,0.887,0.836,2.58140514469453
93572290,1993,3.286,108,1,0.921,0.938,0.836,2.57864790996785
93572342,1993,2.167,91,1,0.972,0.885,0.769,2.58044694533762
93572371,1993,1.857,91,1,0.919,0.889,0.771,2.58094533762058
93572388,1993,2.063,98,1,0.462,0.922,0.822,2.58061414790997
93572443,1993,3.5,107,0,0.855,0.91,0.856,2.5783038585209
93572941,1993,2,91,1,0.972,0.885,0.769,2.5807154340836
93572975,1993,2.25,98,1,0.763,0.896,0.826,2.58031350482315
93573631,1993,2.533,107,1,0.909,0.939,0.814,2.57985852090032
93574520,1993,3.133,104,1,0.971,0.909,0.841,2.57889389067524
93574605,1993,2.5,116,1,0.519,0.949,0.854,2.5799115755627
93574791,1993,1.917,91,1,0.847,0.903,0.883,2.58084887459807
93575084,1993,2.667,91,1,0.834,0.918,0.89,2.57964308681672
93575232,1993,2.647,114,1,0.753,0.899,0.929,2.57967524115756
93575385,1993,2.667,93,1,0.781,0.934,0.823,2.57964308681672
93575398,1993,4,115,1,0.914,0.927,0.89,2.5775
93575809,1993,2.625,95,1,0.983,0.939,0.936,2.57971061093248
93576196,1993,3.917,110,1,0.824,0.936,0.976,2.57763344051447
93576488,1993,2,106,1,0.798,0.919,0.862,2.5807154340836
93576803,1993,2.643,106,1,0.973,0.94,0.822,2.57968167202572
93576924,1993,1.118,86,1,0.947,0.949,0.826,2.58213344051447
93578019,1993,4,118,1,0.982,0.91,0.894,2.5775
93578315,1993,1.5,81,1,0.788,0.927,0.935,2.5815192926045
93578493,1993,1.75,104,1,0.743,0.919,0.69,2.58111736334405
93578548,1993,3.25,100,1,0.675,0.946,0.938,2.57870578778135
93578861,1993,0.7,116,1,0.678,0.905,0.787,2.58280546623794
93579278,1993,1,82,1,0.346,0.923,0.858,2.5823231511254
93579938,1993,2.5,87,1,0.947,0.899,0.946,2.5799115755627
93579963,1993,3.385,102,1,0.815,0.971,0.909,2.57848874598071
93606726,1993,4,116,1,0.785,0.891,0.816,2.5775
93608178,1993,2.667,87,1,0.883,0.915,0.832,2.57964308681672
93614974,1993,1.571,106,1,0.794,0.934,0.833,2.58140514469453
93624272,1993,3.25,112,1,0.838,0.946,0.903,2.57870578778135
93676125,1993,2.5,104,1,0.884,0.907,0.872,2.5799115755627
93678674,1993,2.273,102,1,0.986,0.929,0.862,2.58027652733119
93712399,1993,3.571,107,1,0.852,0.937,0.836,2.57818971061093
94501957,1993,3.286,103,1,0.722,0.951,0.862,2.57864790996785
94503036,1993,3.429,119,1,0.906,0.975,0.816,2.57841800643087
94504082,1993,2.929,104,1,0.907,0.948,0.805,2.57922186495177
94504188,1993,2.083,112,1,0.654,0.873,0.753,2.58058199356913
94504325,1993,4,122,1,0.538,0.92,0.789,2.5775
94506051,1993,2.938,104,1,0.956,0.896,0.812,2.57920739549839
94506321,1993,3.111,114,1,0.922,0.964,0.745,2.57892926045016
94506376,1993,3.417,89,1,0.993,0.89,0.799,2.57843729903537
94508068,1993,1.333,98,1,0.757,0.897,0.886,2.58178778135048
94508165,1993,2.333,119,1,0.925,0.818,0.86,2.58018006430868
94508662,1993,3.25,119,1,0.616,0.916,0.798,2.57870578778135
94546874,1993,3.063,106,1,0.946,0.913,0.803,2.57900643086817
94548977,1993,4,116,1,0.896,0.937,0.883,2.5775
94570083,1993,1.571,110,1,0.872,0.874,0.796,2.58140514469453
94570151,1993,0.154,78,1,0.986,0.892,0.795,2.58368327974276
94570220,1993,2.059,112,1,0.823,0.908,0.727,2.58062057877813
94570384,1993,3,115,1,0.942,0.891,0.825,2.5791077170418
94570699,1993,2.5,85,1,0.924,0.913,0.782,2.5799115755627
94571009,1993,1.625,106,1,0.545,0.936,0.821,2.58131832797428
94571910,1993,1.286,86,0,0.63,0.922,0.854,2.58186334405145
94572046,1993,1.833,106,1,0.888,0.876,0.851,2.58098392282958
94572220,1993,1.643,89,0,0.589,0.887,0.836,2.58128938906752
94572227,1993,1.143,82,1,0.589,0.887,0.836,2.58209324758842
94572385,1993,3.813,115,1,0.462,0.922,0.822,2.57780064308682
94572396,1993,2.5,78,1,0.921,0.938,0.836,2.5799115755627
94572667,1993,3.929,104,1,0.859,0.936,0.914,2.57761414790997
94572912,1993,3.417,115,1,0.777,0.958,0.79,2.57843729903537
94574031,1993,4,83,1,0.562,0.906,0.159,2.5775
94574105,1993,2.167,91,1,0.765,0.949,0.854,2.58044694533762
94574119,1993,2.571,106,1,0.826,0.872,0.816,2.57979742765273
94574237,1993,2.111,81,0,0.896,0.843,0.73,2.58053697749196
94575006,1993,3.25,102,1,0.917,0.931,0.951,2.57870578778135
94575211,1993,3.571,120,1,0.708,0.898,0.922,2.57818971061093
94575393,1993,3.667,115,1,0.9,0.829,0.869,2.57803536977492
94575463,1993,2.875,106,1,0.529,0.897,0.932,2.57930868167203
94575945,1993,3.091,91,1,0.957,0.931,0.973,2.578961414791
94575948,1993,3.214,112,1,0.827,0.91,0.837,2.57876366559485
94575991,1993,2.143,98,1,0.815,0.859,0.856,2.58048553054662
94576007,1993,3.333,103,1,0.844,0.804,0.827,2.57857234726688
94576154,1993,2.714,98,1,0.757,0.896,0.684,2.57956752411576
94576395,1993,1.929,100,1,0.648,0.899,0.875,2.58082958199357
94576411,1993,2.063,102,1,0.991,0.864,0.855,2.58061414790997
94576432,1993,1.267,87,1,0.988,0.92,0.979,2.58189389067524
94576646,1993,1.167,93,1,0.737,0.953,0.945,2.58205466237942
94576661,1993,3.385,100,1,0.969,0.907,0.897,2.57848874598071
94576985,1993,1.273,104,1,0.907,0.927,0.806,2.58188424437299
94577128,1993,4,119,1,0.84,0.956,0.961,2.5775
94577361,1993,2.462,104,0,0.894,0.948,0.815,2.57997266881029
94578149,1993,2.875,110,1,0.817,0.928,0.739,2.57930868167203
94578780,1993,3.429,98,1,0.753,0.976,0.935,2.57841800643087
94578874,1993,1.9,108,1,0.943,0.947,0.887,2.58087620578778
94578921,1993,2,75,1,0.756,0.893,0.829,2.5807154340836
94578943,1993,2.778,103,1,0.914,0.936,0.846,2.57946463022508
94578966,1993,1.4,91,1,0.757,0.897,0.886,2.58168006430868
94579375,1993,2,114,1,0.836,0.948,0.83,2.5807154340836
94619469,1993,3.75,111,1,0.764,0.847,0.51,2.57790192926045
94619964,1993,2.4,107,1,0.928,0.958,0.93,2.58007234726688
94676929,1993,2.571,90,1,0.711,0.627,0.604,2.57979742765273
95500280,1993,1.5,106,1,0.958,0.948,0.857,2.5815192926045
95500710,1993,3.333,104,0,0.922,0.983,0.932,2.57857234726688
